Price,Area,NumberBed,NumberToilet,HuongNha,HuongBanCong,NoiThat,Chudautu,QuyMo,ViDo,KinhDo,LoaiTin,Quan,Price_per_m2
3500000000.0,78.0,2,2,Đông-Nam,Tây-Bắc,0,Tập đoàn Vingroup,0,20.994333267211896,105.86756134033199,Tin Vip 1,Hai Bà Trưng,44871794.87179487
4100000000.0,70.0,2,2,Đông-Nam,Tây-Bắc,0,Tập đoàn Vingroup,3 tòa tháp cao tầng và trung tâm thương mại,21.0197982788086,105.780708312988,Tin Vip 1,Nam Từ Liêm,58571428.571428575
1880000000.0,61.5,2,2,Đông-Nam,Tây-Bắc,"Bàn giao CĐT - Sàn gỗ, trần thạch cao, full nhà vệ sinh ( thiết bị vệ sinh toto, vách kính, tủ để đồ, 2 nóng lạnh) - full điện, nước, ánh sáng - chuông hình đời mới - 1 điều hòa - tặng 1 máy lọc nước",0,"Gồm 2 tầng hầm, 5 tháp từ 25-29 tầng",21.0292072296143,105.764450073242,Tin Vip 1,Nam Từ Liêm,30569105.69105691
1140000000.0,65.5,2,2,Đông-Nam,Tây-Bắc,0,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên,Gồm 3 tòa cao 35 tầng,20.963598251342773,105.82803344726562,Tin Vip 1,Hoàng Mai,17404580.152671754
2220000000.0,86.0,3,2,Đông-Nam,Tây-Bắc,0,0,"Chung cư cao 25 tầng và 4 tầng hầm, 30 lô Kiot thương mại, 21 căn Shophouse",21.0409755706787,105.91366577148399,Tin Vip 1,Long Biên,25813953.48837209
1190000000.0,53.0,2,2,Đông-Nam,Tây-Bắc,"Trần thạch cao, tủ bếp cao cấp, điều hòa, bình nóng lạnh, vòi sen đầy đủ, đường truyền hình cáp, internet",0,0,20.9898638136009,105.820247106858,Tin Vip 1,Thanh Xuân,22452830.188679244
3300000000.0,99.0,3,2,Đông-Nam,Tây-Bắc,"Trần thạch cao, nẹp phào tường, sàn gỗ, khóa từ kỹ thuật số, tủ bếp, bếp từ, hút mùi, chậu rửa, sen vòi, thiết bị bếp, thiết bị nhà tắm đầy đủ, bình nóng lạnh điều hòa âm trần, đèn chùm, đèn led...",Công ty CP Đầu tư Phú Thượng ,0,21.081007003784197,105.81809234619101,Tin Vip 1,Tây Hồ,33333333.333333332
3200000000.0,80.6,2,2,Bắc,Nam,0,Công ty CP Đầu tư Dầu khí Toàn cầu ,"Gồm 1 tòa nhà hỗn hợp cao 14 tầng, 2 tòa chung cư cao cấp CT1 (23 tầng) và CT2 (29 tầng), 20 căn liền kề và 11 căn biệt thự",21.0443725585938,105.80323028564501,Tin Vip 1,Cầu Giấy,39702233.25062035
2500000000.0,74.0,2,2,Bắc,Nam,"Nội thất đa dạng từ nguyên bản chủ đầu tư, cơ bản đã lắp tủ bếp, điều hòa hoặc đầy đủ nội thất.",0,Gồm 2 khối nhà cao 30 tầng,21.022161483764602,105.771797180176,Tin Vip 1,Nam Từ Liêm,33783783.783783786
1500000000.0,54.1,2,1,Tây-Bắc,Đông-Nam,"Trần, sàn, tường hoàn thiện thiết bị vệ sinh điều hòa hệ thống đèn, điện chiếu sáng.",0,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,Tin Vip 1,Gia Lâm,27726432.532347504
2400000000.0,76.0,2,2,Tây-Bắc,Đông-Nam,0,0,0,20.98483657836914,105.85985565185548,Tin Vip 1,Hoàng Mai,31578947.36842105
4300000000.0,119.0,3,2,Đông-Nam,Tây-Bắc,Đồ liền tường.,Tập đoàn Vingroup,"19 căn / sàn; gồm 2 sảnh A và B; sảnh A:9 căn, sảnh B:10 căn và các căn biệt thự, liền kề",21.0365676879883,105.760482788086,Tin Vip 1,Nam Từ Liêm,36134453.7815126
945000000.0,72.0,3,2,Đông-Nam,Tây-Bắc,"Bàn giao thô, đã hoàn thiện toàn bộ mặt ngoài của tòa nhà, tất cả các khu vực sử dụng chung hành lang, thang máy, tầng thương mại...",0,2 tháp cao 22-24 tầng,20.9919548034668,105.785102844238,Tin Vip 1,Nam Từ Liêm,13125000.0
3148000000.0,107.0,3,2,Nam,Bắc,Bàn giao nội thất liền tường nhập khẩu châu Âu,Công ty CP Tập đoàn Sunshine,3 block cao 31 tầng,20.996685028076172,105.87384796142578,Tin Vip 1,Hai Bà Trưng,29420560.74766355
2800000000.0,80.3,2,2,Nam,Bắc,Full nội thất dát vàng của chủ đầu tư.,Công ty CP Tập đoàn Sunshine,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,Tin Vip 1,Bắc Từ Liêm,34869240.3486924
3200000000.0,108.0,3,2,Nam,Bắc,"Bàn giao đầy đủ nội thất liền tường cao cấp: Tường sơn, sàn lát hoàn thiện - Điều hoà Daikin, đèn Phillips âm trần - Thiết bị bếp Hafele - Thiết bị vệ sinh Kohler - Công tắc thông minh Sunshine Tech..",Công ty CP Tập đoàn Sunshine,3 block cao 31 tầng,20.996685028076197,105.873847961426,Tin Vip 1,Hai Bà Trưng,29629629.62962963
1550000000.0,56.8,2,2,Tây-Bắc,Đông-Nam,"Sàn gỗ công nghiệp, trần thạch cao, thiết bị chiếu sáng, hệ thống cửa, thiết bị vệ sinh, bình nóng lạnh, khoá cơ + từ + số và hệ thống đầu chờ bếp, điều hoà.",Công ty TNHH MTV đầu tư Phương Đông,"03 tầng hầm, 4 block căn hộ cao từ 24 – 27 tầng",20.9605541229248,105.845962524414,Tin Vip 1,Hoàng Mai,27288732.394366197
1300000000.0,25.0,1,2,Tây-Bắc,Đông-Nam,"Nội thất bàn giao cao cấp full: + Sàn gỗ, trần thạch cao (cao 3 m) + Thiết bị vệ sinh Kohler, điều hòa Daikin, tủ bếp Hafele",0,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,Tin Vip 1,Gia Lâm,52000000.0
3300000000.0,122.0,3,2,Tây-Bắc,Đông-Nam,Full nội thất cao cấp.,0,05 tòa nhà 25 - 30 tầng,21.047119140625,105.78136444091801,Tin Vip 1,Bắc Từ Liêm,27049180.327868853
3800000000.0,118.0,3,2,Bắc,Nam,"Sàn gỗ cao cấp, điều hòa âm trần, tủ âm tường, thiết bị vệ sinh, thiết bị chiếu sáng, hệ thống đèn trang trí, chuông hình, bếp, tủ bếp, hệ thống hút mùi...",Tập đoàn Vingroup,0,20.994333267211896,105.86756134033199,Tin Vip 1,Hai Bà Trưng,32203389.830508474
2330000000.0,69.0,2,2,Đông-Nam,Tây-Bắc,"- Khóa từ 3 chức năng, cửa chống cháy, sàn gỗ công nghiệp 12mm, trần thạch cao. - Full nội thất vệ sinh. - Full nội thất bếp. - Điều hòa Daikin phòng khách và các phòng ngủ. + Hệ thống đèn trần.",0,Tòa tháp cao 26 tầng,20.9739685058594,105.82169342041,Tin Vip 1,Hoàng Mai,33768115.942028984
5300000000.0,88.0,2,2,Đông-Nam,Tây-Bắc,Nội thất cơ bản.,Tân Hoàng Minh Group,"Gồm 2 tòa tháp căn hộ cao 25 tầng, 1 tòa tháp dịch vụ 8 tầng và 5 tầng hầm",21.064899444580103,105.827049255371,Tin Vip 1,Tây Hồ,60227272.72727273
1700000000.0,70.0,2,2,Đông-Nam,Tây-Bắc,0,0,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,Tin Vip 1,Gia Lâm,24285714.285714287
1490000000.0,75.0,2,2,Đông-Nam,Tây-Bắc,0,0,0,21.0371049,105.7860054,Tin Vip 1,Cầu Giấy,19866666.666666668
