Giá,Diện tích,Số phòng ngủ,Số toilet,Chủ đầu tư
2600000000.0,114.0,3,2,Tập đoàn CapitaLand
2050000000.0,84.0,3,2,Công ty Cổ phần Tập đoàn FLC
1500000000.0,57.0,2,1,Công ty CP Đầu tư Phát triển Đô thị và KCN Sông Đà - Sudico
4500000000.0,99.1,3,2,Công ty CP Tập đoàn Sunshine
2200000000.0,58.0,1,1,Công ty CP Đầu tư Phú Thượng 
3590000000.0,87.3,3,2,Công ty Đầu tư Xây dựng số 2 Hà Nội
1250000000.0,75.0,2,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
1550000000.0,69.0,2,2,
3400000000.0,100.0,3,2,Công ty CP Tập đoàn Xây dựng và Thiết bị Công nghiệp CIE Corp
1100000000.0,67.0,2,2,Công ty CP Xây lắp Điện 1
5100000000.0,132.0,3,2,Công ty CP Hóa Dầu Quân Đội
3900000000.0,105.0,3,2,Công ty CP Hoa Anh Đào
1899000000.0,81.0,3,2,Công ty CP Tập đoàn Nam Cường Hà Nội
2170000000.0,69.0,2,2,
960000000.0,66.0,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
2800000000.0,80.0,2,2,Tập đoàn Vingroup
3600000000.0,100.0,2,2,Công ty CP Tập đoàn Sunshine
3600000000.0,85.67,2,2,Tổng công ty Đầu tư Phát triển Hạ tầng đô thị - UDIC
2400000000.0,74.0,2,2,
5600000000.0,120.0,3,2,Công ty CP Hạ tầng và Bất động sản Việt Nam 
950000000.0,50.0,2,1,Công ty CP Xây lắp Điện 1
1900000000.0,76.0,2,2,Công ty CP Đầu tư Xây dựng số 9 Hà Nội
1700000000.0,59.0,2,1,
960000000.0,60.0,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
2200000000.0,59.0,2,2,Công ty CP Đầu tư Xây dựng số 9 Hà Nội
1260000000.0,75.9,2,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
4600000000.0,110.0,3,2,Tân Hoàng Minh Group
3900000000.0,98.0,3,2,Công ty CP Đầu tư Phú Thượng 
4700000000.0,118.0,2,2,Tập đoàn Bitexco
1275000000.0,75.0,2,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
2450000000.0,100.0,2,2,Tập đoàn CapitaLand
1500000000.0,67.0,2,2,Công ty CP Đầu tư Xây dựng Hạ tầng và Giao Thông
2000000000.0,41.0,2,1,
6200000000.0,97.0,3,2,Tập đoàn Vingroup
6900000000.0,216.0,4,4,Công ty CP Nông sản Agrexim
8300000000.0,115.0,4,2,Tập đoàn Vingroup
4300000000.0,119.0,3,2,Tập đoàn Vingroup
2600000000.0,84.5,2,2,Tổng công ty CP Xuất nhập khẩu và Xây dựng Việt Nam
2350000000.0,106.0,3,2,Công ty CP Đầu tư An Lạc
2180000000.0,72.0,2,2,Công ty TNHH Bất động sản và Xây dựng Việt Hưng
1500000000.0,38.0,1,1,Tân Hoàng Minh Group
6800000000.0,245.5,4,3,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội
2200000000.0,56.0,2,1,
1800000000.0,78.0,2,2,Công ty CP Bất động sản Hanovid
839000000.0,55.9,2,1,
2480000000.0,96.69,3,2,Công ty CP Đầu tư Văn Phú - Invest
2100000000.0,75.0,2,2,
2400000000.0,63.87,2,2,Công ty Đầu tư Xây dựng số 2 Hà Nội
1750000000.0,95.0,3,3,Công ty CP Bất động sản Hải Phát
4800000000.0,98.0,3,2,Công ty CP Đầu tư Phú Thượng 
1180000000.0,70.0,2,2,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD
3360000000.0,122.0,3,2,Công ty TNHH Quốc tế Liên doanh VINACONEX – TAISEI 
2350000000.0,83.0,2,2,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân
1680000000.0,79.0,2,1,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD
3200000000.0,58.04,1,2,Công ty TNHH Đầu tư C.T.L
1900000000.0,71.0,2,2,Công ty CP Xây dựng số 3 - VINACONEX3
3600000000.0,91.0,3,2,Công ty CP xây dựng số 1 Hà Nội
5500000000.0,113.0,3,2,
1130000000.0,70.0,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
3900000000.0,135.0,3,2,Tổng công ty CP Xuất nhập khẩu và Xây dựng Việt Nam
3650000000.0,98.4,3,2,Công ty CP Tập đoàn Sunshine
3700000000.0,105.0,2,2,Tập đoàn Vingroup
3800000000.0,128.0,3,2,Công ty Xây dựng Dân Dụng
7900000000.0,189.9,3,2,Tập đoàn Bitexco
960000000.0,62.0,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
2000000000.0,68.0,2,2,
2400000000.0,83.0,2,2,Tổng công ty Cơ khí Xây dựng - Coma
2750000000.0,70.0,2,2,Tập đoàn Vingroup
3200000000.0,90.0,3,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
2900000000.0,121.0,4,2,Tập đoàn CapitaLand
3300000000.0,55.0,2,1,
3000000000.0,70.0,2,2,Tập đoàn Vingroup
1500000000.0,108.0,3,2,
2200000000.0,80.0,2,2,
1800000000.0,43.0,1,1,Tập đoàn Vingroup
1220000000.0,66.0,2,2,Tổng Công ty Viglacera
